dP,m,n,esc,pfil,ps,A,Cs,t,V,lm,km0,gx,meio
1.20E+06,3.48,0.19,0.795,1.08E+03,2808,2.29E-03,1.33E-04,1500,3.04E-05,6.35E-03,1.48E-11,0.4,50
1.20E+06,3.48,0.19,0.795,1.08E+03,2808,2.29E-03,1.33E-04,1800,3.23E-05,6.35E-03,1.48E-11,0.4,50
1.40E+06,3.70,0.19,0.632,1.07E+03,2808,2.29E-03,1.33E-04,60,1.10E-05,6.35E-03,1.48E-11,0.4,50
1.40E+06,3.70,0.19,0.632,1.07E+03,2808,2.29E-03,1.33E-04,300,2.03E-05,6.35E-03,1.48E-11,0.4,50
1.40E+06,3.70,0.19,0.632,1.07E+03,2808,2.29E-03,1.33E-04,600,2.58E-05,6.35E-03,1.48E-11,0.4,50
1.40E+06,3.70,0.19,0.632,1.07E+03,2808,2.29E-03,1.33E-04,900,2.95E-05,6.35E-03,1.48E-11,0.4,50
1.40E+06,3.70,0.19,0.632,1.07E+03,2808,2.29E-03,1.33E-04,1200,3.23E-05,6.35E-03,1.48E-11,0.4,50
1.40E+06,3.70,0.19,0.632,1.07E+03,2808,2.29E-03,1.33E-04,1500,3.46E-05,6.35E-03,1.48E-11,0.4,50
1.40E+06,3.70,0.19,0.632,1.07E+03,2808,2.29E-03,1.33E-04,1800,3.66E-05,6.35E-03,1.48E-11,0.4,50
2.00E+05,3.61,0.19,0.707,9.70E+02,2808,2.29E-03,1.33E-04,60,7.53E-06,6.35E-03,1.48E-11,0.4,120
2.00E+05,3.61,0.19,0.707,9.70E+02,2808,2.29E-03,1.33E-04,300,9.10E-06,6.35E-03,1.48E-11,0.4,120
2.00E+05,3.61,0.19,0.707,9.70E+02,2808,2.29E-03,1.33E-04,600,9.90E-06,6.35E-03,1.48E-11,0.4,120
2.00E+05,3.61,0.19,0.707,9.70E+02,2808,2.29E-03,1.33E-04,900,1.08E-05,6.35E-03,1.48E-11,0.4,120
2.00E+05,3.61,0.19,0.707,9.70E+02,2808,2.29E-03,1.33E-04,1200,1.15E-05,6.35E-03,1.48E-11,0.4,120
2.00E+05,3.61,0.19,0.707,9.70E+02,2808,2.29E-03,1.33E-04,1500,1.21E-05,6.35E-03,1.48E-11,0.4,120
2.00E+05,3.61,0.19,0.707,9.70E+02,2808,2.29E-03,1.33E-04,1800,1.28E-05,6.35E-03,1.48E-11,0.4,120
4.00E+05,3.03,0.22,0.725,1.03E+03,2808,2.29E-03,1.33E-04,60,7.13E-06,6.35E-03,1.48E-11,0.4,120
4.00E+05,3.03,0.22,0.725,1.03E+03,2808,2.29E-03,1.33E-04,300,9.03E-06,6.35E-03,1.48E-11,0.4,120
4.00E+05,3.03,0.22,0.725,1.03E+03,2808,2.29E-03,1.33E-04,600,1.04E-05,6.35E-03,1.48E-11,0.4,120
4.00E+05,3.03,0.22,0.725,1.03E+03,2808,2.29E-03,1.33E-04,900,1.13E-05,6.35E-03,1.48E-11,0.4,120
4.00E+05,3.03,0.22,0.725,1.03E+03,2808,2.29E-03,1.33E-04,1200,1.20E-05,6.35E-03,1.48E-11,0.4,120
4.00E+05,3.03,0.22,0.725,1.03E+03,2808,2.29E-03,1.33E-04,1500,1.27E-05,6.35E-03,1.48E-11,0.4,120
4.00E+05,3.03,0.22,0.725,1.03E+03,2808,2.29E-03,1.33E-04,1800,1.33E-05,6.35E-03,1.48E-11,0.4,120
6.00E+05,4.51,0.17,0.552,1.04E+03,2808,2.29E-03,1.33E-04,60,7.00E-06,6.35E-03,1.48E-11,0.4,120
6.00E+05,4.51,0.17,0.552,1.04E+03,2808,2.29E-03,1.33E-04,300,8.93E-06,6.35E-03,1.48E-11,0.4,120
6.00E+05,4.51,0.17,0.552,1.04E+03,2808,2.29E-03,1.33E-04,600,1.03E-05,6.35E-03,1.48E-11,0.4,120
6.00E+05,4.51,0.17,0.552,1.04E+03,2808,2.29E-03,1.33E-04,900,1.13E-05,6.35E-03,1.48E-11,0.4,120
